enumClass,membName,membValue
_ATGO_SecurityType,INVALID,-1
_ATGO_SecurityType,CS,00
_ATGO_SecurityType,ETF,15
_ATGO_SecurityType,CB,12
_ATGO_SecurityType,RB,13
_ATGO_SecurityType,IDX,20
_ATGO_SecurityType,IF,21
_ATGO_SecurityExchange,INVALID,-1
_ATGO_SecurityExchange,SZ,1
_ATGO_SecurityExchange,SH,2
_ATGO_HandlInst,INVALID,-1
_ATGO_HandlInst,Actual,1
_ATGO_HandlInst,Uncensor,2
_ATGO_HandlInst,Algo,3
_ATGO_OrdStatus,INVALID,-1
_ATGO_OrdStatus,New,0
_ATGO_OrdStatus,PartialFill,1
_ATGO_OrdStatus,Filled,2
_ATGO_OrdStatus,Canceled,4
_ATGO_OrdStatus,PendingCancel,6
_ATGO_OrdStatus,Rejected,8
_ATGO_OrdStatus,PendingNew,10
_ATGO_Side,INVALID,-1
_ATGO_Side,Buy,1
_ATGO_Side,Sell,2
_ATGO_OrdType,INVALID,-1
_ATGO_OrdType,Limit,0
_ATGO_OrdType,CreditLimit,1
_ATGO_OrdType,TWAP,101
_ATGO_OrdType,VWAP,102
_ATGO_Urgency,INVALID,-1
_ATGO_Urgency,Heartbeat,0
_ATGO_Urgency,Warning,1
_ATGO_Urgency,Error,2
_ATGO_Urgency,Debug,3
_ATGO_CxlRejReason,INVALID,-1
_ATGO_CxlRejReason,TooLate,0
_ATGO_CxlRejReason,UnknownOrder,1
_ATGO_CxlRejReason,BrokerOption,2
_ATGO_CxlRejReason,AlreadyPend,3
_ATGO_TradingSession,INVALID,-1
_ATGO_TradingSession,Continuous,0
_ATGO_TradingSession,OpenAuction,1
_ATGO_TradingSession,CloseAuction,2
_ATGO_TradingSession,Break,3
_ATGO_TradingSession,Settle,4
_ATGO_TradingSession,Suspend,5
_ATGO_ModuleStatus,INVALID,-1
_ATGO_ModuleStatus,Online,0
_ATGO_ModuleStatus,Offline,1
_ATGO_ModuleStatus,Initializing,2
_ATGO_CxlType,INVALID,-1
_ATGO_CxlType,NotCanceled,0
_ATGO_CxlType,StopTrade,1
_ATGO_CxlType,StopInit,2
_ATGO_SpecTreat,INVALID,-1
_ATGO_SpecTreat,Normal,0
_ATGO_SpecTreat,ST,1
_ATGO_SpecTreat,STStar,2
